BHK,price,per_month_emi,total_sqft,latitude,longitude
1,17,9,550,19.95298,73.83799
1,18,9.53,554,20.04723,73.77545
1,12,6.35,444,19.98582,73.81712
2,30,15.89,846,20.01678,73.79665
2,33,17.48,1010,19.96758,73.7829
3,80,39.72,1472,20.01277,73.73992
2,48,25.42,1480,19.94749,73.76139
1,22,11.65,780,20.01976,73.84737
2,34.99,18.53,1100,20.0129,73.75045
2,40,21.18,975,19.98849,73.72505
3,50,26.48,1084,19.95266,73.8365
1,27.5,14.56,685,20.01098,73.80851
1,21,11.12,575,19.9742,73.78648
2,45,23.83,1050,20.01671,73.79459
0,9,4.77,600,20.01539,73.81763
0,16.5,8.74,635,19.98111,73.8415
2,50,26.48,1400,19.95531,73.84089
1,14,7.41,650,19.99975,73.73383
2,30,15.89,1000,19.9678,73.75231
2,30,15.89,900,20.01678,73.79665
2,50,26.48,900,19.99619,73.76349
2,18,9.53,735,19.84369,73.99385
2,35,18.53,1100,20.01825,73.79397
2,68,36.01,1585,20.01277,73.73992
2,34,18,980,19.98849,73.72505
2,38.51,20.39,886,20.01678,73.79665
2,30,15.89,900,19.98162,73.79795
2,30,15.89,950,20.01098,73.80851
2,36,19.06,1100,19.96496,73.76212
2,42.5,22.51,960,19.97594,73.82971
2,36,19.06,600,20.0244,73.7881
1,20,10.59,630,20.46043,74.19353
2,65,34.42,825,20.00763,73.76362
1,14,7.41,600,19.99503,73.79647
1,20,10.59,585,19.97956,73.84487
1,15,7.94,525,19.99503,73.79647
0,6.5,3.44,215,19.98548,73.80365
1,17,9,625,19.99584,73.70402
1,25,13.24,550,19.99767,73.80071
2,32,16.95,850,20.01098,73.80851
1,30,15.89,550,20.00658,73.78997
2,25,13.24,725,19.98126,73.80328
2,55,29.13,1200,20.018,73.75111
1,30,15.89,550,20.01658,73.76731
1,25,13.24,615,19.98858,73.71576
2,25,13.24,755,19.99076,73.72243
2,42,22.24,1039,19.96966,73.7809
3,135,67.02,2900,19.98422,73.7817
1,20,10.59,575,20.0088,73.79842
1,18,9.53,480,19.98858,73.71576
3,135,67.02,2900,19.99066,73.78871
2,73,38.66,1162,19.99947,73.77475
3,32,16.95,1050,19.95103,73.76732
2,32,16.95,960,19.97395,73.77575
1,7,3.71,360,19.96724,73.75504
1,17.5,9.27,510,19.95931,73.77976
1,22,11.65,685,19.95372,73.83279
2,35,18.53,750,20.01828,73.75895
1,16.5,8.74,526,19.99774,73.70887
1,20,10.59,701,19.97589,73.77772
2,60,31.77,980,20.03086,73.71665
2,45,23.83,750,19.99845,73.77502
3,70,37.07,1445,25.36176,83.01741
1,18,9.53,615,20.01678,73.79665
1,20.5,10.86,507,19.99968,73.72605
1,18,9.53,522,20.46043,74.19353
1,14.51,7.68,514,20.01678,73.79665
1,36,19.06,800,20.01828,73.75895
1,35,18.53,600,20.00658,73.78997
0,35,18.53,600,20.00658,73.78997
1,15,7.94,591,19.95539,73.85953
2,47,24.89,950,20.02012,73.7594
2,32,16.95,905,20.01678,73.79665
0,14,7.41,335,20.01277,73.73992
2,38.5,20.39,960,20.01083,73.74738
1,25,13.24,625,19.9678,73.75231
1,18,9.53,700,19.96336,73.77065
1,35,18.53,960,20.03457,73.80527
2,30,15.89,960,20.03457,73.80527
2,30,15.89,800,19.97916934,73.75068716
2,22,11.65,900,19.96115,73.76057
1,14,7.41,550,19.97819,73.8509
1,14.5,7.68,500,19.97262,73.74383
2,40,21.18,800,19.97234,73.78515
2,67,35.48,1050,20.00864,73.75788
1,23,12.18,675,19.95018,73.82961
1,27,14.3,840,19.98693,73.78671
3,47,24.89,1255,20.03449,73.80617
1,17,9,550,20.0171742,73.79359892
3,65,34.42,1200,19.9305322,73.81173403
2,44,23.3,1000,20.00905333,73.75537978
1,14,7.41,490,20.02734,73.80763
3,55,29.13,1350,19.98849,73.72505
2,28,14.83,725,19.99503,73.79647
1,17,9,630,19.96119,73.74556
2,34,18,956,19.96523,73.76795
0,12,6.35,370,19.96758,73.7829
2,24,12.71,860,19.96523,73.75143
0,10,5.3,400,20.01976,73.84737
2,30,15.89,925,19.95531,73.84089
2,25,13.24,827,19.97430003,73.75463008
1,20,10.59,670,19.99584,73.70402
2,25,13.24,735,20.01678,73.79665
1,22,11.65,837,20.01678,73.79665
2,32,16.95,850,20.01098,73.80851
3,55,29.13,1500,25.36176,83.01741
2,50,26.48,1212,19.99241,73.80013
2,32,16.95,960,19.93329,73.53077
2,27,14.3,725,20.01141,73.78339
1,9.5,5.03,350,19.96115,73.76057
2,43,22.77,950,20.01678,73.79665
2,50,26.48,980,19.96311,73.77113
1,19,10.06,545,20.03514,73.79593
1,25,13.24,500,19.97805,73.83652
1,160,79.43,530,19.99619,73.76349
2,30,15.89,1183,19.94749,73.76139
2,35,18.53,870,19.9832,73.77883
1,21,11.12,684,20.00642768,73.79169821
1,19,10.06,607,20.01678,73.79665
2,40,21.18,1000,19.96758,73.7829
2,50,26.48,1100,20.00763,73.76362
2,34,18,900,19.979,73.80045
2,45,23.83,1060,19.96758,73.7829
2,50,26.48,930,19.94749,73.76139
2,23,12.18,725,19.97594,73.82971
1,22,11.65,750,19.97687,73.76695
2,25,13.24,750,20.03086,73.71665
1,30,15.89,585,19.99774,73.70887
2,70,37.07,1350,20.01174,73.76289
1,13,6.88,700,19.94312,73.77364
1,25,13.24,620,20.00668,73.78309
3,65,34.42,1297,20.01328,73.73606
2,70,37.07,1004,20.00321994,73.77556008
3,75,39.72,1650,20.00295,73.77091
0,12,6.35,450,19.99503,73.79647
1,16,8.47,541,19.99975,73.73383
1,18,9.53,606,20.03514,73.79593
3,45,23.83,1295,19.96108,73.75819
2,46.8,24.78,1050,20.04456,73.78355
0,10,5.3,425,19.95931,73.77976
1,18,9.53,630,20.00726,73.8039
0,10,5.3,425,19.96758,73.7829
2,50,26.48,1900,20.01678,73.79665
2,38,20.12,1080,19.94749,73.76139
2,30,15.89,1200,19.94749,73.76139
2,42,22.24,1160,19.94749,73.76139
2,40,21.18,900,19.96599,73.77292
1,23,12.18,890,19.96523,73.75143
2,38,20.12,872,19.96523,73.75143
1,25,13.24,660,20.01678,73.79665
1,23,12.18,890,19.96724,73.75504
2,36.5,19.33,900,19.98181,73.802
2,30,15.89,1000,20.01678,73.79665
2,32,16.95,850,20.00658,73.78997
2,32,16.95,850,20.00658,73.78997
1,20,10.59,635,19.99503,73.79647
3,45,23.83,1200,20.03178,73.8551
3,40,21.18,1190,19.95032,73.83803
1,18,9.53,570,19.99418,73.7677
1,16,8.47,750,20.01976,73.84737
3,45,23.83,1150,20.01277,73.73992
2,31,16.42,1100,19.94749,73.76139
1,16,8.47,750,20.01976,73.84737
3,65,34.42,1450,20.00658,73.78997
1,23.5,12.44,650,19.94749,73.76139
2,35,18.53,850,19.96758,73.7829
1,21,11.12,613,20.04813,73.80687
2,32,16.95,890,19.98858,73.71576
1,25,13.24,620,20.00658,73.78997
2,30,15.89,900,19.95104,73.75699
1,45,23.83,1050,19.96115,73.76057
3,95,47.16,2400,19.99066,73.78871
2,45,23.83,901,20.01678,73.79665
1,19,10.06,660,20.00835,73.79431
2,45,23.83,975,19.99947,73.77475
2,35,18.53,900,19.96599,73.77292
2,58,30.71,1000,20.01083,73.74738
2,38,20.12,850,19.96523,73.76795
1,21,11.12,600,20.01678,73.79665
1,20,10.59,602,19.97262,73.74383
2,26,13.77,1000,19.94749,73.76139
2,31,16.42,900,20.01678,73.79665
1,8,4.24,350,20.00873,73.79639
2,40,21.18,835,19.98693,73.78712
1,13,6.88,625,19.94749,73.76139
1,10,5.3,400,19.96311,73.77113
1,23,12.18,735,19.97594,73.82971
3,40,21.18,1190,19.95531,73.84089
2,48,25.42,1160,20.01277,73.73992
4,120,59.58,2200,20.00295,73.77091
1,18,9.53,650,19.97338,73.83893
2,42,22.24,1180,19.97708,73.79968
1,13,6.88,750,19.94427,73.83229
3,75,39.72,1800,19.99307,73.80571
1,18,9.53,600,20.09691,73.92601
1,17,9,420,20.46043,74.19353
1,30,15.89,900,20.01678,73.79665
2,46,24.36,1050,19.96758,73.7829
2,24,12.71,750,19.98181,73.802
1,25,13.24,718,19.96974,73.78127
2,30,15.89,920,19.97811,73.79962
4,110,54.61,1850,20.00763,73.76362
2,62,32.83,1000,20.00321994,73.77556008
1,28,14.83,770,19.9832,73.77883
1,25,13.24,725,20.00662,73.7327
2,30,15.89,958,19.99503,73.79647
2,35,18.53,850,20.01288,73.82464
1,31,16.42,753,20.01277,73.73992
1,13,6.88,550,19.99975,73.73383
1,17,9,580,20.01678,73.79665
2,27,14.3,750,19.99975,73.73383
1,24,12.71,750,20.00243,73.78794
2,28,14.83,812,19.99503,73.79647
3,48,25.42,1200,19.96599,73.77292
2,50,26.48,1200,19.95266,73.8365
2,23,12.18,856,19.95531,73.84089
2,48,25.42,900,19.96758,73.7829
1,20,10.59,600,19.94749,73.76139
1,70,37.07,626,19.99975,73.73383
1,24.5,12.97,700,19.95931,73.77976
3,85,42.2,1200,20.03086,73.71665
1,19,10.06,615,20.04723,73.77545
3,60.35,31.96,1480,19.94749,73.76139
2,23,12.18,816,19.95531,73.84089
1,16,8.47,640,19.95531,73.84089
2,20,10.59,856,19.97475,73.82099
3,72,38.13,1642,19.99307,73.80571
2,58.2,30.82,970,20.0091,73.77249
1,16,8.47,585,19.97493,73.84449
1,15,7.94,534,19.98053,73.84253
0,12,6.35,430,19.95931,73.77976
1,15,7.94,535,19.95531,73.84089
2,40,21.18,800,20.01083,73.74738
2,36,19.06,889,20.04723,73.77545
2,33,17.48,962,19.94749,73.76139
1,26.5,14.03,800,20.01424,73.7916
1,25,13.24,550,20.03178,73.8551
1,22.75,12.05,815,19.97568,73.78433
1,23,12.18,573,19.96311,73.77113
2,27,14.3,725,20.01141,73.78339
1,21,11.12,667,19.94749,73.76139
3,62,32.83,1250,19.95531,73.84089
3,30,15.89,1000,19.95531,73.84089
3,30,15.89,1000,19.95531,73.84089
2,20,10.59,660,19.94625,73.8147
2,37,19.59,1450,20.04723,73.77545
2,23,12.18,725,20.04905,73.79696
2,50,26.48,1435,20.04723,73.77545
2,51,27.01,1057,19.95266,73.8365
3,50,26.48,1190,19.94625,73.8147
2,35,18.53,1040,19.94625,73.8147
2,35,18.53,900,19.94625,73.8147
2,36,19.06,1000,19.9399,73.84584
1,17,9,478,19.95202,73.8423
1,20,10.59,750,19.95531,73.84089
1,21,11.12,700,19.98053,73.84253
2,40,21.18,985,19.95931,73.77976
2,55,29.13,614,19.94749,73.76139
3,50,26.48,1050,20.01141,73.78339
3,75,39.72,1571,20.01557,73.74439
3,62,32.83,1545,19.97219,73.7835
1,17,9,526,19.99774,73.70887
2,38,20.12,840,19.9612,73.78267
3,50,26.48,1350,19.96599,73.77292
1,25,13.24,600,20.46043,74.19353
2,58.2,30.82,970,20.0129,73.75045
3,60,31.77,1350,19.98491,73.80525
1,30,15.89,685,19.94749,73.76139
2,30,15.89,865,19.94534,73.74791
0,49,25.95,850,20.01098,73.80851
1,25,13.24,630,19.97475,73.82099
1,20,10.59,607,19.99503,73.79647
2,40,21.18,970,19.94749,73.76139
1,22,11.65,622,19.94625,73.8147
1,28,14.83,650,19.96311,73.77113
1,25,13.24,600,20.00923,73.79625
2,30,15.89,950,19.84369,73.99385
2,38,20.12,950,20.03178,73.8551
2,50,26.48,930,19.94749,73.76139
2,36,19.06,930,19.94749,73.76139
3,80,39.72,1825,20.03086,73.71665
3,45,23.83,1275,20.03178,73.8551
2,40,21.18,1350,19.96666,73.78337
3,60,31.77,1500,19.94749,73.76139
3,61,32.3,1438,19.94749,73.76139
3,60,31.77,1689,19.95531,73.84089
1,20,10.59,650,19.96873,73.77268
2,59,31.24,1200,20.018,73.75111
2,27,14.3,750,19.97442,73.83381
1,30,15.89,650,19.94749,73.76139
